2. 읍·면·동별 세대 및 인구,,,,,,,,,,
,,,,,,,,,," (단위: 세대, 명) "
구   분,,,, 한   국   인  ,,,,,,
, 인 구 ,,, 세대 , 인  구 ,,, 인 구 ,,
, 계 , 남 , 여 ,, 계 , 남 , 여 , 계 , 남 , 여 
총계,506222 ,249583 ,256639 ,146750 ,505784 ,249339 ,256445 ,438 ,244 ,194 
제 주 시,237774 ,117397 ,120377 ,71152 ,237481 ,117236 ,120245 ,293 ,161 ,132 
일도 1동,7348 ,3692 ,3656 ,2390 ,7322 ,3680 ,3642 ,26 ,12 ,14 
일도 2동,26653 ,12993 ,13660 ,7610 ,26619 ,12971 ,13648 ,34 ,22 ,12 
이도 1동,10311 ,5063 ,5248 ,3378 ,10285 ,5045 ,5240 ,26 ,18 ,8 
이도 2동,28046 ,13750 ,14296 ,8093 ,28022 ,13738 ,14284 ,24 ,12 ,12 
이도 2동,17912 ,8854 ,9058 ,5238 ,17888 ,8842 ,9046 ,24 ,12 ,12 
도 남 동,10134 ,4896 ,5238 ,2855 ,10134 ,4896 ,5238 ,0 ,0 ,0 
삼도 1동,16618 ,7990 ,8628 ,4827 ,16591 ,7977 ,8614 ,27 ,13 ,14 
삼도 2동,13025 ,6479 ,6546 ,4239 ,13020 ,6475 ,6545 ,5 ,4 ,1 
용담 1동,12115 ,5898 ,6217 ,3756 ,12103 ,5893 ,6210 ,12 ,5 ,7 
용담 2동,21417 ,10585 ,10832 ,6119 ,21383 ,10569 ,10814 ,34 ,16 ,18 
용담 2동,18270 ,9011 ,9259 ,5202 ,18236 ,8995 ,9241 ,34 ,16 ,18 
용담 3동,3147 ,1574 ,1573 ,917 ,3147 ,1574 ,1573 ,0 ,0 ,0 
건 입 동,13198 ,6570 ,6628 ,4007 ,13198 ,6570 ,6628 ,0 ,0 ,0 
화 북 동,11035 ,5551 ,5484 ,3040 ,11020 ,5542 ,5478 ,15 ,9 ,6 
화북 1동,9021 ,4523 ,4498 ,2473 ,9006 ,4514 ,4492 ,15 ,9 ,6 
화북 2동,2014 ,1028 ,986 ,567 ,2014 ,1028 ,986 ,0 ,0 ,0 
삼 양 동,8909 ,4421 ,4488 ,2452 ,8908 ,4421 ,4487 ,1 ,0 ,1 
삼양 1동,3090 ,1545 ,1545 ,872 ,3089 ,1545 ,1544 ,1 ,0 ,1 
삼양 2동,3513 ,1708 ,1805 ,994 ,3513 ,1708 ,1805 ,0 ,0 ,0 
삼양 3동,493 ,251 ,242 ,128 ,493 ,251 ,242 ,0 ,0 ,0 
도련 1동,1027 ,530 ,497 ,247 ,1027 ,530 ,497 ,0 ,0 ,0 
도련 2동,786 ,387 ,399 ,211 ,786 ,387 ,399 ,0 ,0 ,0 
봉 개 동,2862 ,1454 ,1408 ,712 ,2862 ,1454 ,1408 ,0 ,0 ,0 
봉 개 동,1734 ,877 ,857 ,447 ,1734 ,877 ,857 ,0 ,0 ,0 
회 천 동,624 ,303 ,321 ,141 ,624 ,303 ,321 ,0 ,0 ,0 
용 강 동,504 ,274 ,230 ,124 ,504 ,274 ,230 ,0 ,0 ,0 
아 라 동,10980 ,5445 ,5535 ,3092 ,10972 ,5438 ,5534 ,8 ,7 ,1 
아라 1동,7094 ,3503 ,3591 ,2003 ,7086 ,3496 ,3590 ,8 ,7 ,1 
아라 2동,1516 ,767 ,749 ,422 ,1516 ,767 ,749 ,0 ,0 ,0 
오 등 동,688 ,330 ,358 ,288 ,688 ,330 ,358 ,0 ,0 ,0 
월 평 동,592 ,316 ,276 ,193 ,592 ,316 ,276 ,0 ,0 ,0 
영 평 동,1090 ,529 ,561 ,186 ,1090 ,529 ,561 ,0 ,0 ,0 
오 라 동,5850 ,2957 ,2893 ,1722 ,5849 ,2956 ,2893 ,1 ,1 ,0 
오라 1동,2337 ,1156 ,1181 ,697 ,2336 ,1155 ,1181 ,1 ,1 ,0 
오라 2동,2372 ,1220 ,1152 ,683 ,2372 ,1220 ,1152 ,0 ,0 ,0 
오라 3동,1141 ,581 ,560 ,342 ,1141 ,581 ,560 ,0 ,0 ,0 
연동,28766 ,14158 ,14608 ,9567 ,28694 ,14119 ,14575 ,72 ,39 ,33 
노 형 동,10212 ,5170 ,5042 ,3151 ,10209 ,5169 ,5040 ,3 ,1 ,2 
노 형 동,9336 ,4711 ,4625 ,2929 ,9333 ,4710 ,4623 ,3 ,1 ,2 
해 안 동,876 ,459 ,417 ,222 ,876 ,459 ,417 ,0 ,0 ,0 
외 도 동,5210 ,2584 ,2626 ,1489 ,5209 ,2584 ,2625 ,1 ,0 ,1 
외도 1동,1646 ,837 ,809 ,464 ,1645 ,837 ,808 ,1 ,0 ,1 
외도 2동,1328 ,643 ,685 ,375 ,1328 ,643 ,685 ,0 ,0 ,0 
내 도 동,1215 ,607 ,608 ,324 ,1215 ,607 ,608 ,0 ,0 ,0 
도 평 동,1021 ,497 ,524 ,326 ,1021 ,497 ,524 ,0 ,0 ,0 
이 호 동,3069 ,1565 ,1504 ,899 ,3065 ,1563 ,1502 ,4 ,2 ,2 
이호 1동,1535 ,780 ,755 ,454 ,1531 ,778 ,753 ,4 ,2 ,2 
이호 2동,1534 ,785 ,749 ,445 ,1534 ,785 ,749 ,0 ,0 ,0 
도 두 동,2150 ,1072 ,1078 ,609 ,2150 ,1072 ,1078 ,0 ,0 ,0 
도두 1동,1423 ,700 ,723 ,385 ,1423 ,700 ,723 ,0 ,0 ,0 
도두 2동,727 ,372 ,355 ,224 ,727 ,372 ,355 ,0 ,0 ,0 
서귀포시,84795 ,42147 ,42648 ,24199 ,84721 ,42098 ,42623 ,74 ,49 ,25 
송 산 동,7945 ,3985 ,3960 ,2285 ,7931 ,3975 ,3956 ,14 ,10 ,4 
서 귀 동,5236 ,2633 ,2603 ,1552 ,5222 ,2623 ,2599 ,14 ,10 ,4 
보 목 동,2709 ,1352 ,1357 ,733 ,2709 ,1352 ,1357 ,0 ,0 ,0 
정 방 동,5950 ,2923 ,3027 ,1869 ,5939 ,2913 ,3026 ,11 ,10 ,1 
서 귀 동,5950 ,2923 ,3027 ,1869 ,5939 ,2913 ,3026 ,11 ,10 ,1 
중 앙 동,7632 ,3716 ,3916 ,2284 ,7625 ,3712 ,3913 ,7 ,4 ,3 
서 귀 동,7632 ,3716 ,3916 ,2284 ,7625 ,3712 ,3913 ,7 ,4 ,3 
천 지 동,6726 ,3291 ,3435 ,2027 ,6720 ,3285 ,3435 ,6 ,6 ,0 
서 귀 동,6143 ,2991 ,3152 ,1851 ,6137 ,2985 ,3152 ,6 ,6 ,0 
서 홍 동,583 ,300 ,283 ,176 ,583 ,300 ,283 ,0 ,0 ,0 
효 돈 동,6795 ,3319 ,3476 ,1724 ,6795 ,3319 ,3476 ,0 ,0 ,0 
신 효 동,2260 ,1117 ,1143 ,576 ,2260 ,1117 ,1143 ,0 ,0 ,0 
하 효 동,4535 ,2202 ,2333 ,1148 ,4535 ,2202 ,2333 ,0 ,0 ,0 
영 천 동,5438 ,2743 ,2695 ,1473 ,5430 ,2739 ,2691 ,8 ,4 ,4 
토 평 동,3379 ,1687 ,1692 ,911 ,3376 ,1687 ,1689 ,3 ,0 ,3 
상 효 동,2059 ,1056 ,1003 ,562 ,2054 ,1052 ,1002 ,5 ,4 ,1 
동 홍 동,9689 ,4882 ,4807 ,2802 ,9682 ,4877 ,4805 ,7 ,5 ,2 
서 홍 동,8002 ,4025 ,3977 ,2402 ,7997 ,4024 ,3973 ,5 ,1 ,4 
대 륜 동,8453 ,4200 ,4253 ,2334 ,8450 ,4200 ,4250 ,3 ,0 ,3 
법 환 동,4469 ,2199 ,2270 ,1228 ,4468 ,2199 ,2269 ,1 ,0 ,1 
서 호 동,1801 ,890 ,911 ,491 ,1800 ,890 ,910 ,1 ,0 ,1 
호 근 동,2183 ,1111 ,1072 ,615 ,2182 ,1111 ,1071 ,1 ,0 ,1 
대 천 동,5542 ,2720 ,2822 ,1504 ,5542 ,2720 ,2822 ,0 ,0 ,0 
월 평 동,750 ,374 ,376 ,209 ,750 ,374 ,376 ,0 ,0 ,0 
강 정 동,2305 ,1110 ,1195 ,620 ,2305 ,1110 ,1195 ,0 ,0 ,0 
도 순 동,1266 ,629 ,637 ,344 ,1266 ,629 ,637 ,0 ,0 ,0 
용 흥 동,1221 ,607 ,614 ,331 ,1221 ,607 ,614 ,0 ,0 ,0 
중 문 동,8706 ,4393 ,4313 ,2377 ,8704 ,4392 ,4312 ,2 ,1 ,1 
중 문 동,4462 ,2197 ,2265 ,1234 ,4460 ,2196 ,2264 ,2 ,1 ,1 
대 포 동,1650 ,850 ,800 ,461 ,1650 ,850 ,800 ,0 ,0 ,0 
하 원 동,1646 ,859 ,787 ,414 ,1646 ,859 ,787 ,0 ,0 ,0 
회 수 동,948 ,487 ,461 ,268 ,948 ,487 ,461 ,0 ,0 ,0 
예 래 동,3917 ,1950 ,1967 ,1118 ,3906 ,1942 ,1964 ,11 ,8 ,3 
색 달 동,740 ,374 ,366 ,232 ,729 ,366 ,363 ,11 ,8 ,3 
상 예 동,1821 ,914 ,907 ,501 ,1821 ,914 ,907 ,0 ,0 ,0 
하 예 동,1356 ,662 ,694 ,385 ,1356 ,662 ,694 ,0 ,0 ,0 
북제주군,100500 ,49120 ,51380 ,28833 ,100447 ,49097 ,51350 ,53 ,23 ,30 
한 림 읍,21370 ,10497 ,10873 ,6326 ,21332 ,10482 ,10850 ,38 ,15 ,23 
귀덕 1리,1470 ,722 ,748 ,438 ,1470 ,722 ,748 ,0 ,0 ,0 
귀덕 2리,753 ,352 ,401 ,224 ,753 ,352 ,401 ,0 ,0 ,0 
신 흥 리,402 ,199 ,203 ,117 ,402 ,199 ,203 ,0 ,0 ,0 
수 원 리,1264 ,593 ,671 ,363 ,1264 ,593 ,671 ,0 ,0 ,0 
한 수 리,864 ,441 ,423 ,249 ,864 ,441 ,423 ,0 ,0 ,0 
대 림 리,1045 ,503 ,542 ,333 ,1039 ,502 ,537 ,6 ,1 ,5 
한림 1리,3828 ,1912 ,1916 ,1144 ,3808 ,1902 ,1906 ,20 ,10 ,10 
한림 2리,2072 ,1034 ,1038 ,626 ,2066 ,1032 ,1034 ,6 ,2 ,4 
강 구 리,357 ,174 ,183 ,92 ,357 ,174 ,183 ,0 ,0 ,0 
장 원 리,212 ,108 ,104 ,69 ,212 ,108 ,104 ,0 ,0 ,0 
상 대 리,239 ,121 ,118 ,70 ,239 ,121 ,118 ,0 ,0 ,0 
동 명 리,954 ,512 ,442 ,279 ,954 ,512 ,442 ,0 ,0 ,0 
명 월 리,814 ,406 ,408 ,228 ,813 ,406 ,407 ,1 ,0 ,1 
금 악 리,1144 ,565 ,579 ,344 ,1143 ,565 ,578 ,1 ,0 ,1 
상 명 리,587 ,308 ,279 ,158 ,587 ,308 ,279 ,0 ,0 ,0 
