1-4. 읍면동별 세대 및 인구,,,,,,,,,,
,,,,,,,,,," (단위: 세대, 명) "
구   분, 합          계 ,,, 내   국   인  ,,,,  외   국   인 ,,
, 인     구 ,,, 세대 , 인      구 ,,, 인     구 ,,
, 계 , 남 , 여 ,, 계 , 남 , 여 , 계 , 남 , 여 
총계,699751 ,352303 ,347448 ,311355 ,678159 ,339590 ,338569 ,21592 ,12713 ,8879 
제 주 시,507594 ,254567 ,253027 ,222599 ,493389 ,246504 ,246885 ,14205 ,8063 ,6142 
한 림 읍,24085 ,12991 ,11094 ,10689 ,21027 ,10835 ,10192 ,3058 ,2156 ,902 
애 월 읍,38738 ,19862 ,18876 ,17491 ,37697 ,19305 ,18392 ,1041 ,557 ,484 
구 좌 읍,16036 ,8305 ,7731 ,7994 ,15381 ,7834 ,7547 ,655 ,471 ,184 
조 천 읍,26330 ,13504 ,12826 ,11882 ,25788 ,13199 ,12589 ,542 ,305 ,237 
한 경 면,9908 ,5033 ,4875 ,5102 ,9502 ,4739 ,4763 ,406 ,294 ,112 
추 자 면,1850 ,1127 ,723 ,939 ,1574 ,858 ,716 ,276 ,269 ,7 
우 도 면,1693 ,891 ,802 ,902 ,1666 ,880 ,786 ,27 ,11 ,16 
일도 1동,2386 ,1267 ,1119 ,1375 ,2303 ,1218 ,1085 ,83 ,49 ,34 
일도 2동,32233 ,15803 ,16430 ,13380 ,31953 ,15707 ,16246 ,280 ,96 ,184 
이도 1동,7806 ,3852 ,3954 ,3909 ,7659 ,3775 ,3884 ,147 ,77 ,70 
이도 2동,49859 ,24284 ,25575 ,21371 ,49263 ,24019 ,25244 ,596 ,265 ,331 
삼도 1동,13351 ,6542 ,6809 ,6045 ,13209 ,6487 ,6722 ,142 ,55 ,87 
삼도 2동,8066 ,4188 ,3878 ,4072 ,7828 ,4056 ,3772 ,238 ,132 ,106 
용담 1동,6925 ,3568 ,3357 ,3448 ,6834 ,3538 ,3296 ,91 ,30 ,61 
용담 2동,14319 ,7252 ,7067 ,6402 ,14137 ,7179 ,6958 ,182 ,73 ,109 
건 입 동,9092 ,4653 ,4439 ,4163 ,8866 ,4503 ,4363 ,226 ,150 ,76 
화 북 동,24089 ,11990 ,12099 ,9678 ,23764 ,11808 ,11956 ,325 ,182 ,143 
삼 양 동,26573 ,13318 ,13255 ,10116 ,26339 ,13219 ,13120 ,234 ,99 ,135 
봉 개 동,5367 ,2777 ,2590 ,2416 ,5270 ,2735 ,2535 ,97 ,42 ,55 
아 라 동,40274 ,19829 ,20445 ,16614 ,39137 ,19255 ,19882 ,1137 ,574 ,563 
오 라 동,16196 ,8168 ,8028 ,6333 ,15975 ,8076 ,7899 ,221 ,92 ,129 
연    동,44020 ,21467 ,22553 ,22040 ,42413 ,20752 ,21661 ,1607 ,715 ,892 
노 형 동,57725 ,28390 ,29335 ,23853 ,55693 ,27284 ,28409 ,2032 ,1106 ,926 
외 도 동,22720 ,11335 ,11385 ,8899 ,22421 ,11217 ,11204 ,299 ,118 ,181 
이 호 동,4566 ,2408 ,2158 ,1934 ,4416 ,2316 ,2100 ,150 ,92 ,58 
도 두 동,3387 ,1763 ,1624 ,1552 ,3274 ,1710 ,1564 ,113 ,53 ,60 
서귀포시,192157 ,97736 ,94421 ,88756 ,184770 ,93086 ,91684 ,7387 ,4650 ,2737 
대 정 읍,24020 ,11748 ,12272 ,10893 ,22262 ,10754 ,11508 ,1758 ,994 ,764 
남 원 읍,19140 ,10064 ,9076 ,8816 ,18498 ,9576 ,8922 ,642 ,488 ,154 
성 산 읍,16766 ,9171 ,7595 ,8236 ,15427 ,8110 ,7317 ,1339 ,1061 ,278 
안 덕 면,12923 ,6718 ,6205 ,6458 ,12414 ,6467 ,5947 ,509 ,251 ,258 
표 선 면,12944 ,6684 ,6260 ,6295 ,12526 ,6395 ,6131 ,418 ,289 ,129 
송 산 동,4280 ,2354 ,1926 ,1909 ,3904 ,2034 ,1870 ,376 ,320 ,56 
정 방 동,2262 ,1128 ,1134 ,1329 ,2136 ,1056 ,1080 ,126 ,72 ,54 
중 앙 동,3269 ,1561 ,1708 ,1863 ,3205 ,1534 ,1671 ,64 ,27 ,37 
천 지 동,3591 ,1806 ,1785 ,1999 ,3465 ,1730 ,1735 ,126 ,76 ,50 
효 돈 동,5380 ,2708 ,2672 ,2386 ,5311 ,2660 ,2651 ,69 ,48 ,21 
영 천 동,5439 ,2793 ,2646 ,2546 ,5302 ,2688 ,2614 ,137 ,105 ,32 
동 홍 동,24314 ,11860 ,12454 ,9943 ,23514 ,11446 ,12068 ,800 ,414 ,386 
서 홍 동,11376 ,5643 ,5733 ,4615 ,11231 ,5558 ,5673 ,145 ,85 ,60 
대 륜 동,15789 ,7957 ,7832 ,6998 ,15602 ,7867 ,7735 ,187 ,90 ,97 
대 천 동,13988 ,7067 ,6921 ,6491 ,13796 ,6985 ,6811 ,192 ,82 ,110 
중 문 동,12633 ,6403 ,6230 ,5964 ,12302 ,6238 ,6064 ,331 ,165 ,166 
예 래 동,4043 ,2071 ,1972 ,2015 ,3875 ,1988 ,1887 ,168 ,83 ,85 
